"Time","EventID","Source","Computer","Message","Details"
"2021-07-24T17:21:22.819Z",1100,"Security-Auditing","CLIENT05","Security event 1100 occurred.","Details: Event ID 1100 logged for ABYAH\john.smith"
"2021-12-07T10:07:47.648Z",6005,"System","WEB01","The Event log service was started.",""
"2021-05-24T18:48:33.711Z",11,"Sysmon","DEV-01","File created:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; TargetFilename: C:\Users\ABYAH\abyah\Documents\file_37.tmp; ProcessId: 2647"
"2021-01-23T17:08:17.146Z",7,"Sysmon","CLIENT03","Image loaded:","Image: C:\Windows\explorer.exe; ImageLoaded: C:\Windows\System32\kernel32.dll; ProcessId: 5786"
"2021-10-10T15:30:28.448Z",3,"Sysmon","DC01","Network connection detected:","Image: C:\Windows\System32\lsass.exe; User: ABYAH\jdoe; DestinationIp: 1.1.1.1; DestinationPort: 80; Protocol: tcp"
"2021-08-03T18:40:43.154Z",1100,"Security-Auditing","HR-DESK-01","Security event 1100 occurred.","Details: Event ID 1100 logged for ABYAH\jdoe"
"2021-09-25T13:38:38.909Z",6005,"System","WEB01","The Event log service was started.",""
"2021-05-28T18:27:19.682Z",15,"Sysmon","IT-DESK-01","FileCreateStreamHash:","Image: C:\Program Files\WindowsApps\...\RuntimeBroker.exe; TargetFilename: C:\Users\ABYAH\svc_backup\Downloads\setup_1.exe:Zone.Identifier"
"2021-11-03T05:15:11.665Z",11,"Sysmon","CLIENT02","File created:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; TargetFilename: C:\Users\ABYAH\abyah\Documents\file_10.tmp; ProcessId: 3564"
"2021-01-08T09:45:18.819Z",1100,"Security-Auditing","CLIENT03","Security event 1100 occurred.","Details: Event ID 1100 logged for WORKGROUP\User2"
"2021-07-04T17:14:41.252Z",1,"Sysmon","EXCH01","Process Create:","Image: C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE; CommandLine: ""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"" --flag-5352 --config-3; User: WORKGROUP\User1; ProcessId: 2169"
"2021-08-04T14:44:19.816Z",6005,"System","CLIENT03","The Event log service was started.",""
"2021-08-03T19:02:56.542Z",6005,"System","DEV-01","The Event log service was started.",""
"2021-11-27T18:37:01.883Z",10,"Sysmon","CLIENT01","Sysmon event 10",""
"2021-09-21T14:58:17.285Z",7,"Sysmon","DEV-01","Image loaded:","Image: C:\Windows\System32\svchost.exe; ImageLoaded: C:\Windows\System32\ws2_32.dll; ProcessId: 8141"
"2021-06-11T21:06:54.264Z",8,"Sysmon","HR-DESK-02","Sysmon event 8",""
"2021-01-15T02:20:16.431Z",1100,"Security-Auditing","TEST-01","Security event 1100 occurred.","Details: Event ID 1100 logged for ABYAH\lnguyen"
"2021-08-14T01:12:33.470Z",6013,"System","TEST-01","The system uptime is 8463326 seconds.",""
"2021-03-10T14:56:44.596Z",15,"Sysmon","TEST-01","FileCreateStreamHash:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; TargetFilename: C:\Users\ABYAH\klee\Downloads\setup_2.exe:Zone.Identifier"
"2021-01-18T13:05:14.961Z",4776,"Security-Auditing","TEST-01","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: bwilson; Computer: Computer Name: TEST-01"
"2021-09-23T08:26:53.594Z",8,"Sysmon","CLIENT03","Sysmon event 8",""
"2021-04-20T16:47:56.239Z",3,"Sysmon","HR-DESK-01","Network connection detected:","Image: C:\Windows\System32\winlogon.exe; User: ABYAH\asmith; DestinationIp: 8.8.8.8; DestinationPort: 53; Protocol: tcp"
"2021-01-10T23:19:53.701Z",15,"Sysmon","CLIENT02","FileCreateStreamHash:","Image: C:\Windows\explorer.exe; TargetFilename: C:\Users\ABYAH\jane.doe\Downloads\setup_8.exe:Zone.Identifier"
"2021-09-25T17:24:29.429Z",8,"Sysmon","CLIENT04","Sysmon event 8",""
"2021-07-02T10:47:30.822Z",11,"Sysmon","CLIENT01","File created:","Image: C:\Windows\System32\spoolsv.exe; TargetFilename: C:\Users\ABYAH\admin\Documents\file_49.tmp; ProcessId: 7325"
"2021-03-17T18:21:55.202Z",15,"Sysmon","DC02","FileCreateStreamHash:","Image: C:\Program Files\Google\Chrome\chrome.exe; TargetFilename: C:\Users\ABYAH\svc_monitor\Downloads\setup_8.exe:Zone.Identifier"
"2021-11-05T02:30:50.371Z",1100,"Security-Auditing","HR-DESK-02","Security event 1100 occurred.","Details: Event ID 1100 logged for SYSTEM"
"2021-07-11T20:45:56.877Z",6013,"System","TEST-01","The system uptime is 8286400 seconds.",""
"2021-04-24T02:27:06.878Z",1,"Sysmon","CLIENT03","Process Create:","Image: C:\Program Files\Microsoft Edge\msedge.exe; CommandLine: ""C:\Program Files\Microsoft Edge\msedge.exe"" --flag-2646 --config-8; User: ABYAH\mperez; ProcessId: 3725"
"2021-06-12T13:09:15.643Z",1,"Sysmon","CLIENT03","Process Create:","Image: C:\Windows\explorer.exe; CommandLine: ""C:\Windows\explorer.exe"" --flag-7751 --config-3; User: NETWORK SERVICE; ProcessId: 3785"
"2021-10-05T07:29:40.360Z",6013,"System","DEV-01","The system uptime is 7810313 seconds.",""
"2021-03-03T14:22:37.406Z",4624,"Security-Auditing","TEST-01","An account was successfully logged on.","Subject: Security ID: S-1-5-18; Subject: Account Name: TEST-01$; Subject: Account Domain: ABYAH; Logon: Logon Type: 11; New Logon: Account Name: svc_backup; New Logon: Authentication Package: NTLM; Network: Source Address: 192.168.1.105"
"2021-02-08T12:36:22.688Z",6005,"System","DEV-01","The Event log service was started.",""
"2021-01-19T21:49:47.150Z",6005,"System","CLIENT02","The Event log service was started.",""
"2021-04-21T06:39:16.794Z",11,"Sysmon","CLIENT05","File created:","Image: C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE; TargetFilename: C:\Users\ABYAH\mperez\Documents\file_97.tmp; ProcessId: 3240"
"2021-01-19T11:46:08.192Z",11,"Sysmon","IT-DESK-01","File created:","Image: C:\Windows\System32\svchost.exe; TargetFilename: C:\Users\ABYAH\lnguyen\Documents\file_38.tmp; ProcessId: 6352"
"2021-09-17T08:53:10.363Z",3,"Sysmon","CLIENT05","Network connection detected:","Image: C:\Program Files\Google\Chrome\chrome.exe; User: ABYAH\john.smith; DestinationIp: 142.250.80.46; DestinationPort: 53; Protocol: tcp"
"2021-04-28T21:46:43.506Z",7,"Sysmon","APP01","Image loaded:","Image: C:\Windows\System32\lsass.exe; ImageLoaded: C:\Windows\System32\ws2_32.dll; ProcessId: 6992"
"2021-02-15T11:43:47.788Z",6013,"System","TEST-01","The system uptime is 4498338 seconds.",""
"2021-01-20T17:20:58.724Z",6006,"System","DEV-01","The Event log service was stopped.",""
"2021-02-05T01:02:19.604Z",4634,"Security-Auditing","HR-DESK-02","An account was logged off.","Target: Account Name: svc_backup"
"2021-08-12T21:47:44.653Z",4776,"Security-Auditing","HR-DESK-01","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: john.smith; Computer: Computer Name: HR-DESK-01"
"2021-08-20T13:17:02.806Z",4672,"Security-Auditing","WEB01","Special privileges assigned to new logon.","Subject: Account Name: svc_sql; Privileges: SeTcbPrivilege SeBackupPrivilege SeDebugPrivilege"
"2021-02-22T11:34:57.760Z",1100,"Security-Auditing","CLIENT05","Security event 1100 occurred.","Details: Event ID 1100 logged for ABYAH\svc_backup"
"2021-08-03T21:13:41.754Z",6013,"System","WEB01","The system uptime is 458318 seconds.",""
"2021-02-27T17:13:37.321Z",6006,"System","EXCH01","The Event log service was stopped.",""
"2021-05-28T04:08:34.356Z",3,"Sysmon","DC01","Network connection detected:","Image: C:\Program Files\Google\Chrome\chrome.exe; User: WORKGROUP\User2; DestinationIp: 1.1.1.1; DestinationPort: 80; Protocol: tcp"
"2021-10-11T00:11:16.153Z",1,"Sysmon","CLIENT01","Process Create:","Image: C:\Windows\System32\svchost.exe; CommandLine: ""C:\Windows\System32\svchost.exe"" --flag-3076 --config-7; User: ABYAH\rbrown; ProcessId: 9619"
"2021-09-19T03:28:32.326Z",4634,"Security-Auditing","CLIENT05","An account was logged off.","Target: Account Name: svc_monitor"
"2021-01-16T12:27:43.210Z",1,"Sysmon","DC01","Process Create:","Image: C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE; CommandLine: ""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"" --flag-9032 --config-8; User: ABYAH\svc_backup; ProcessId: 2204"
"2021-05-20T20:37:35.829Z",7,"Sysmon","APP01","Image loaded:","Image: C:\Program Files\Google\Chrome\chrome.exe; ImageLoaded: C:\Windows\System32\user32.dll; ProcessId: 7240"
"2021-02-26T22:07:54.770Z",10,"Sysmon","HR-DESK-02","Sysmon event 10",""
"2021-04-14T10:52:29.508Z",15,"Sysmon","IT-DESK-01","FileCreateStreamHash:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; TargetFilename: C:\Users\ABYAH\svc_sql\Downloads\setup_7.exe:Zone.Identifier"
"2021-03-22T15:04:05.951Z",7,"Sysmon","CLIENT05","Image loaded:","Image: C:\Windows\explorer.exe; ImageLoaded: C:\Windows\System32\kernel32.dll; ProcessId: 2527"
"2021-10-18T17:21:42.225Z",6006,"System","DC02","The Event log service was stopped.",""
"2021-06-04T18:32:13.258Z",6013,"System","CLIENT03","The system uptime is 8189795 seconds.",""
"2021-02-25T08:36:14.926Z",4634,"Security-Auditing","CLIENT05","An account was logged off.","Target: Account Name: rbrown"
"2021-01-20T21:53:44.373Z",1102,"Security-Auditing","TEST-01","Security event 1102 occurred.","Details: Event ID 1102 logged for WORKGROUP\User2"
"2021-01-06T04:36:42.510Z",6005,"System","CLIENT05","The Event log service was started.",""
"2021-07-14T14:21:10.478Z",4624,"Security-Auditing","EXCH01","An account was successfully logged on.","Subject: Security ID: S-1-5-18; Subject: Account Name: EXCH01$; Subject: Account Domain: ABYAH; Logon: Logon Type: 10; New Logon: Account Name: LOCAL SERVICE; New Logon: Authentication Package: NTLM; Network: Source Address: 10.0.0.25"
"2021-10-02T21:05:17.553Z",4634,"Security-Auditing","FILE01","An account was logged off.","Target: Account Name: NETWORK SERVICE"
"2021-04-25T16:07:22.540Z",8,"Sysmon","CLIENT02","Sysmon event 8",""
"2021-04-13T19:03:00.309Z",1100,"Security-Auditing","DC02","Security event 1100 occurred.","Details: Event ID 1100 logged for ABYAH\jane.doe"
"2021-06-04T00:31:47.540Z",4776,"Security-Auditing","CLIENT03","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: asmith; Computer: Computer Name: CLIENT03"
"2021-09-27T21:51:22.173Z",6013,"System","DEV-02","The system uptime is 6761748 seconds.",""
"2021-06-19T13:36:25.826Z",1,"Sysmon","SQL01","Process Create:","Image: C:\Windows\System32\svchost.exe; CommandLine: ""C:\Windows\System32\svchost.exe"" --flag-7843 --config-5; User: ABYAH\svc_backup; ProcessId: 2887"
"2021-12-12T02:27:54.208Z",6006,"System","IT-DESK-01","The Event log service was stopped.",""
"2021-05-24T10:14:21.897Z",6013,"System","HR-DESK-01","The system uptime is 2920798 seconds.",""
"2021-06-12T23:52:41.934Z",4634,"Security-Auditing","EXCH01","An account was logged off.","Target: Account Name: jane.doe"
"2021-03-20T04:48:48.771Z",4634,"Security-Auditing","EXCH01","An account was logged off.","Target: Account Name: asmith"
"2021-11-19T20:40:39.430Z",1100,"Security-Auditing","IT-DESK-01","Security event 1100 occurred.","Details: Event ID 1100 logged for ABYAH\svc_backup"
"2021-08-15T20:19:50.381Z",11,"Sysmon","SQL01","File created:","Image: C:\Program Files\Google\Chrome\chrome.exe; TargetFilename: C:\Users\ABYAH\svc_backup\Documents\file_76.tmp; ProcessId: 1920"
"2021-01-02T11:53:18.178Z",4634,"Security-Auditing","IT-DESK-01","An account was logged off.","Target: Account Name: lnguyen"
"2021-07-15T18:35:50.856Z",15,"Sysmon","DEV-02","FileCreateStreamHash:","Image: C:\Windows\System32\spoolsv.exe; TargetFilename: C:\Users\WORKGROUP\User2\Downloads\setup_1.exe:Zone.Identifier"
"2021-09-05T01:28:06.930Z",4776,"Security-Auditing","DEV-01","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: ogarcia; Computer: Computer Name: DEV-01"
"2021-04-23T14:28:33.635Z",7,"Sysmon","DC02","Image loaded:","Image: C:\Windows\System32\winlogon.exe; ImageLoaded: C:\Windows\System32\ws2_32.dll; ProcessId: 3600"
"2021-11-20T01:50:40.762Z",6005,"System","CLIENT04","The Event log service was started.",""
"2021-05-09T23:54:42.717Z",6006,"System","HR-DESK-01","The Event log service was stopped.",""
"2021-05-21T22:42:25.232Z",7,"Sysmon","CLIENT05","Image loaded:","Image: C:\Windows\System32\spoolsv.exe; ImageLoaded: C:\Windows\System32\ws2_32.dll; ProcessId: 2388"
"2021-02-21T21:27:32.470Z",6013,"System","DEV-02","The system uptime is 405857 seconds.",""
"2021-04-08T04:09:04.402Z",4672,"Security-Auditing","DEV-01","Special privileges assigned to new logon.","Subject: Account Name: abyah; Privileges: SeTcbPrivilege SeBackupPrivilege SeDebugPrivilege"
"2021-11-11T19:08:38.485Z",1,"Sysmon","DC02","Process Create:","Image: C:\Windows\System32\winlogon.exe; CommandLine: ""C:\Windows\System32\winlogon.exe"" --flag-3527 --config-3; User: ABYAH\jane.doe; ProcessId: 3962"
"2021-07-12T21:46:15.554Z",15,"Sysmon","DC02","FileCreateStreamHash:","Image: C:\Program Files\Google\Chrome\chrome.exe; TargetFilename: C:\Users\ABYAH\svc_backup\Downloads\setup_5.exe:Zone.Identifier"
"2021-05-26T15:57:53.298Z",15,"Sysmon","CLIENT01","FileCreateStreamHash:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; TargetFilename: C:\Users\ABYAH\john.smith\Downloads\setup_6.exe:Zone.Identifier"
"2021-09-17T13:10:52.304Z",10,"Sysmon","HR-DESK-01","Sysmon event 10",""
"2021-09-04T22:54:33.971Z",3,"Sysmon","CLIENT05","Network connection detected:","Image: C:\Windows\System32\svchost.exe; User: ABYAH\svc_monitor; DestinationIp: 8.8.8.8; DestinationPort: 53; Protocol: tcp"
"2021-03-27T13:05:58.327Z",4672,"Security-Auditing","DEV-02","Special privileges assigned to new logon.","Subject: Account Name: klee; Privileges: SeTcbPrivilege SeBackupPrivilege SeDebugPrivilege"
"2021-09-12T07:24:05.483Z",7,"Sysmon","HR-DESK-01","Image loaded:","Image: C:\Program Files\WindowsApps\...\RuntimeBroker.exe; ImageLoaded: C:\Windows\System32\ntdll.dll; ProcessId: 1461"
"2021-01-10T15:44:53.242Z",4634,"Security-Auditing","APP01","An account was logged off.","Target: Account Name: ogarcia"
"2021-01-09T06:53:09.661Z",8,"Sysmon","SQL01","Sysmon event 8",""
"2021-04-10T03:03:15.529Z",10,"Sysmon","CLIENT03","Sysmon event 10",""
"2021-10-18T00:40:32.688Z",10,"Sysmon","DEV-01","Sysmon event 10",""
"2021-10-12T07:36:26.291Z",4672,"Security-Auditing","DC01","Special privileges assigned to new logon.","Subject: Account Name: lnguyen; Privileges: SeTcbPrivilege SeBackupPrivilege SeDebugPrivilege"
"2021-09-17T16:35:01.499Z",1,"Sysmon","DEV-02","Process Create:","Image: C:\Windows\explorer.exe; CommandLine: ""C:\Windows\explorer.exe"" --flag-8702 --config-1; User: LOCAL SERVICE; ProcessId: 7338"
"2021-04-24T21:40:06.890Z",7,"Sysmon","CLIENT05","Image loaded:","Image: C:\Windows\explorer.exe; ImageLoaded: C:\Windows\System32\ws2_32.dll; ProcessId: 6447"
"2021-11-15T22:30:40.286Z",6006,"System","FILE01","The Event log service was stopped.",""
